,nombre,precio,precio_x_unidad,unidad
0,Tomate chonto x 500gr , 2300, 4.6,gr
1,Aguacate Hass x 500gr , 4900, 9.8,gr
2,Zanahoria x 500gr , 2390, 4.78,gr
3,Banano Urabá x 500 gr , 1776, 3.55,gr
4,Cebolla cabezona a granel x 500gr , 2090, 5.85,gr
5,Plátano llanero x500g , 1687, 5.51,gr
6,Mango Tommy x 500 gr , 2925, 13.98,gr
7,Pepino cohombro x 500 gr , 2755, 4.39,gr
8,Pimentones rojos y verdes x500g , 6990, 7.98,gr
9,Malla Limón x 1000 gr , 2195, 2.99,gr
10,Cebolla Larga Malla x 500gr , 3990, 7.96,gr
11,Manzana Máxima paquete x6 un , 2990, 1498.33,un
12,Cebolla Ocañera x500g , 3980, 6.59,gr
13,Cilantro x 100gr , 8990, 13,gr
14,Estuche de Fresas x500gr , 3295, 19.98,gr
15,Ajo importado malla x 3 un , 1300, 860,un
16,Papaya llanera x2kgr , 9990, 1.92,gr
17,Piña Golden x un , 2580, 5.29,gr
18,Papa Criolla x500gr , 5746, 8.79,gr
19,Papa pastusa x 2500gr , 6760, 7.47,gr
20,Banano criollo x 500gr , 5458, 3.72,gr
21,Manzana importada Verde granny x500gr , 8990, 13.5,gr
22,Arándanos Cuisine&Co x500gr , 4395, 61.78,gr
23,Arándano Estuche x 125 gr , 18683, 55.04,gr
24,Limón Tahití x 500 gr , 21980, 3.1,gr
25,Papa parda pastusa x500gr , 17748, 5.97,gr
26,Kiwi importado x 500gr , 1861, 19.98,gr
27,Brócoli x 500gr , 2190, 13.48,gr
28,Mandarina clementina importada x 500 gr , 9495, 18.99,gr
29,Habichuela x500g , 3065, 6.13,gr
30,Granadilla x 500gr , 9495, 18.99,gr
31,Plátano Maduro x 500gr , 3680, 7.36,gr
32,Champiñón Cuisine&Co entero x 250gr , 8550, 34.2,gr
33,Naranja Tangelo x500g , 8122, 8,gr
34,Durazno nacional x 500gr , 4000, 17.39,gr
35,Apio x 500gr , 8695, 25.36,gr
36,Espinaca x 500gr , 12680, 15.56,gr
37,Calabacín verde x500gr , 7780, 7.49,gr
38,Arándanos Cuisine&Co x 125gr , 3745, 58.4,gr
39,Lulo x 500 gr , 7300, 7.98,gr
40,"Melón Cantaloupe x 1,5kg ", 6935, 8.99,gr
41,Pera packam importada x 500gr , 3990, 12.98,gr
42,Tomate Cuisine & Co Cherry x500gr , 8985, 18.96,gr
43,Tomate de árbol x500g , 6490, 5.98,gr
44,Lechuga Cuisine&Co verde crespa x200gr , 9480, 20,gr
45,Lechuga Cuisine&Co romana x200gr , 9006, 23.9,gr
46,Arándano estuche x 500 gr , 2990, 61.98,gr
47,Papaya melona x 2kgr , 4000, 3.49,gr
48,Champiñón Cuisine&Co laminado x 250gr , 3800, 34.2,gr
49,Paquete de pera x6 unidades , 4780, 1330,un
50,Berenjena x 500 gr , 4541, 13.99,gr
51,Calabacín Amarillo x500gr , 30990, 5.98,gr
52,Maracuyá x 500gr , 6970, 8.99,gr
53,Aguacate injerto x unidad , 8200, 25.96,gr
54,Tomate uvalina x 500gr , 6621, 53.2,gr
